#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
148.3,"Fiserv, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$100,001 -",
5,,,"than $1,001)",,"$1,000,000 ",
148.3,Freeport McMoRan Copper & Gold,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.3,Fulton Financial Corporation - Common,No,None (or less,Capital Gains,"$5,001 - $15,000",
7,Stock,,"than $1,001)",,,
148.3,Boeing Co,No,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.3,Gallagher Arthur J & CO,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.31,General Dynamics,N/A,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
148.31,Bank of America Corp,No,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",,"$1,000,000 ",
148.31,General Electric Co,N/A,None (or less,Capital Gains,"$100,001 -",
2,,,"than $1,001)",,"$1,000,000 ",
148.31,General Mills Inc,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.31,Goldman Sachs Group Inc,N/A,None (or less,Capital Gains,"$50,001 -",
4,,,"than $1,001)",,"$100,000 ",
148.31,Gentex CORP,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.31,"Gilead Sciences, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.31,GRACO INC,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.31,Grainger W.W. Inc,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.31,Alexandria Real Estate Equities Inc,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.32,UGI CORP,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.32,Expeditors Intl of WA Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.32,Macerich Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.32,CenturyLink Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
148.32,Mid-America Apartment Communitys Inc,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.32,Halliburton Co,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.32,Harley-Davidson Inc,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.32,Alliant Energy Corp,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.32,CVS Caremark Corp.,N/A,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.32,"Hasbro, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.33,Hawaiian Electric INDS INC,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.33,Hologic Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.33,Henry (Jack) & Associates INC,N/A,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
148.33,Wintrust Financial Corp,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.33,Hormel Foods Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.33,Harman Intl Industries Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
5,,,"than $1,001)",,,
148.33,Hospitality Properties,No,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.33,Host Hotels & Resorts Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.33,Humana Inc,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.33,Huntington Bancshares Incorporated -,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,Common Stock,,"than $1,001)",,,
148.34,"ICU Medical, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.34,Illinois Tool Works Inc,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.34,Incyte Corporation - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.34,Intel Corporation - Common Stock,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.34,Unum Group,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.34,International Business Machines,No,None (or less,Capital Gains,"$50,001 -",
5,,,"than $1,001)",,"$100,000 ",
148.34,DTE Energy Co,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.34,Intl Paper Co,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.34,Amphenol Corp New,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.34,Interpublic Group Cos,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.35,Johnson & Johnson,N/A,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
148.35,Altria Group Inc,N/A,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",,"$1,000,000 ",
148.35,KeyCorp,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.35,Devon Energy Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.35,Kimberly-Clark,N/A,None (or less,Capital Gains,"$100,001 -",
4,,,"than $1,001)",,"$1,000,000 ",
148.35,Kimco Realty Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.35,NBT Bancorp Inc. - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.35,Kirby Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.35,Costco Wholesale Corp,N/A,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.35,Lam Research Corporation - Common Stock,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.36,Cognizant Tech Solutions Corp,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.36,Estee Lauder Cos.,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.36,Leucadia National Corp (NY),N/A,None (or less,Capital Gains,"$2,501 - $5,000",
2,,,"than $1,001)",,,
148.36,EOG Resources,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.36,Legg Mason Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.36,Alexion Pharmaceuticals Inc,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.36,Lennar Corp,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
6,,,"than $1,001)",,,
148.36,Cooper Cos Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
7,,,"than $1,001)",,,
148.36,Lilly Eli & Co,N/A,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.36,BlackRock Inc,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.37,"Lincoln Electric Holdings, Inc. - Common",N/A,None (or less,Capital Gains,"$15,001 -",
0,Shares,,"than $1,001)",,"$50,000 ",
148.37,Lincoln National Corp,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.37,Senior Housing Propertys,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.37,Lockheed Martin,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.37,Franklin Resources Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.37,lowe's corporation,N/A,None (or less,Capital Gains,"$50,001 -",
5,,,"than $1,001)",,"$100,000 ",
148.37,Honeywell International,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.37,White Mountains Ins Group LTD,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.37,M & T BK Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.37,Akamai Technologies Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.38,United Parcel Service Inc B,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.38,Mack California Realty,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
1,,,"than $1,001)",,,
148.38,Agilent Technologies Inc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.38,aspen insurance holdings LTD,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.38,Exxon Mobil Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.38,Red Hat Inc,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.38,manpowergroup INC,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
6,,,"than $1,001)",,,
148.38,Hartford Financial Services Group Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.38,markel corp,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.38,One Liberty Pptys Inc,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
9,,,"than $1,001)",,,
148.39,Marsh & McLennan Companies,N/A,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
148.39,Marriott International - Class A Common,N/A,None (or less,Capital Gains,"$50,001 -",
1,Stock,,"than $1,001)",,"$100,000 ",
148.39,Waters Corp,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.39,martin marietta Materials,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.39,Camden Property Trust REIT,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
4,,,"than $1,001)",,,
148.39,Masco Corp,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.39,FedEx Corp,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.39,"Mattel, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.39,"Maxim Integrated Products, Inc. - Common",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
8,Stock,,"than $1,001)",,,
148.39,Murphy Oil Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.4,McDonald's Corp,N/A,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
148.4,Dominion Resources Inc,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.4,"Micron Technology, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.4,Microsoft Corporation - Common Stock,N/A,None (or less,Capital Gains,"$100,001 -",
3,,,"than $1,001)",,"$1,000,000 ",
148.4,Clean Harbors Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
4,,,"than $1,001)",,,
148.4,FMC Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.4,Linear Technology Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.4,"Wynn Resorts, Limited - Common Stock",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
7,,,"than $1,001)",,,
148.4,Morgan Stanley,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.4,"Myriad Genetics, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$201 - $1,000",
9,,,"than $1,001)",,,
148.41,National Instruments Corporation -,N/A,None (or less,Capital Gains,"$15,001 -",
0,Common Stock,,"than $1,001)",,"$50,000 ",
148.41,National Oilwell Varco Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.41,Everest RE Group LTD,N/A,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
148.41,Newfield Exploration Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.41,Edwards Lifesciences Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.41,Newmont Mining Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.41,NIKE Inc B,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.41,Vectren Corp,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
7,,,"than $1,001)",,,
148.41,Nordson Corporation - Common Stock,N/A,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.41,Metlife Inc,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.42,Nordstrom Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.42,Stryker Corp,N/A,None (or less,Capital Gains,"$50,001 -",
1,,,"than $1,001)",,"$100,000 ",
148.42,Norfolk Southern Corp,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.42,Unitedhealth Group Inc,N/A,None (or less,Capital Gains,"$100,001 -",
3,,,"than $1,001)",,"$1,000,000 ",
148.42,Northern Trust Corporation - Common,N/A,None (or less,Capital Gains,"$100,001 -",
4,Stock,,"than $1,001)",,"$1,000,000 ",
148.42,Northrop Grumman Corp,N/A,None (or less,Capital Gains,"$100,001 -",
5,,,"than $1,001)",,"$1,000,000 ",
148.42,Cheniere Energy Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.42,Nucor Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.42,Verizon Communications Inc,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.42,Occidental Petroleum,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.43,"Illumina, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.43,old republic international corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.43,Omnicom Group,N/A,None (or less,Capital Gains,None (or less,
2,,,"than $1,001)",,than $201),
148.43,Oracle Corp,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.43,oshkosh corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.43,PNC Finl Services Group,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.43,PPG Industries Inc,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.43,PACCAR Inc. - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.43,Parker-Hannifin Corp,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.43,PG&E Corporation,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.44,PepsiCo Inc,N/A,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
148.44,Pfizer Inc,N/A,None (or less,Capital Gains,"$100,001 -",
1,,,"than $1,001)",,"$1,000,000 ",
148.44,Pinnacle West Capital (AZ),N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.44,Carnival Corp,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.44,Pioneer Natural Resources,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.44,"Manhattan Associates, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.44,"Intuitive Surgical, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.44,Vector Group LTD,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.44,Praxair Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.44,Ford Motor Co,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.45,Procter & Gamble,N/A,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
148.45,Constellation Brands Inc,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.45,Amdocs Ltd,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.45,T Rowe Price Group Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.45,Bank Hawaii Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.45,3M Co,N/A,None (or less,Capital Gains,"$50,001 -",
5,,,"than $1,001)",,"$100,000 ",
148.45,Noble Energy Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
6,,,"than $1,001)",,,
148.45,Yum! Brands Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.45,"Computer Programs and Systems, Inc. -",N/A,None (or less,Capital Gains,None (or less,
8,Common Stock,,"than $1,001)",,than $201),
148.45,"Netflix, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.46,"Skyworks Solutions, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.46,Nabors Industries Ltd,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.46,MGE Energy Inc. - Common Stock,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.46,Cimarex Energy Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.46,US Bancorp,N/A,None (or less,Capital Gains,"$100,001 -",
4,,,"than $1,001)",,"$1,000,000 ",
148.46,"Seattle Genetics, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.46,Raytheon Co,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.46,Alliance Data Systems Corp,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.46,Proassurance Corp,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.46,Rockwell Collins,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.47,BioMarin Pharmaceutical Inc. - Common,N/A,None (or less,Capital Gains,"$15,001 -",
0,Stock,,"than $1,001)",,"$50,000 ",
148.47,"Zimmer Biomet Holdings, Inc",N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.47,Bunge Limited,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
2,,,"than $1,001)",,,
148.47,Joy Global Inc,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.47,Agree Realty Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.47,AmerisourceBergen Corp,N/A,None (or less,Capital Gains,"$50,001 -",
5,,,"than $1,001)",,"$100,000 ",
148.47,Arch Cap Group LTD,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.47,Chevron Corp,N/A,None (or less,Capital Gains,"$50,001 -",
7,,,"than $1,001)",,"$100,000 ",
148.47,Principal Financial Group,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.47,Advanced Auto Parts Inc,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.48,Acuity Brands Inc,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
0,,,"than $1,001)",,,
148.48,Prudential Financial Inc,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.48,Marathon Oil Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.48,Tyler Technologies Inc,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.48,Salesforce.com Inc,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.48,Regions Financial Corp,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.48,Dominos Pizza Inc,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.48,Belden Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.48,"Blackbaud, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.48,Reynolds American Inc,N/A,None (or less,Capital Gains,"$100,001 -",
9,,,"than $1,001)",,"$1,000,000 ",
148.49,Allete Inc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.49,Digital Realty Trust Inc,N/A,None (or less,Capital Gains,"$50,001 -",
1,,,"than $1,001)",,"$100,000 ",
148.49,Northwestern Corp,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.49,"Rush Enterprises, Inc. - Class A Common",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,Stock,,"than $1,001)",,,
148.49,Equity Lifestyle PPTYS Inc,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.49,Las Vegas Sands Corp,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.49,Herbalife LTD,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.49,FBL Financial Group Inc-Cl A,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
7,,,"than $1,001)",,,
148.49,PHH Corp,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
8,,,"than $1,001)",,,
148.49,Prosperity Bancshares Inc,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.5,Celanese Corp-Ser A,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.5,Franklin Str PPTYS Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.5,Consolidated Communications,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.5,CF Industries Holdings,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.5,Ameriprise Financial Inc,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.5,Covanta Holding Corp,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
5,,,"than $1,001)",,,
148.5,"DexCom, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.5,C H Robinson Worldwide Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.5,"Nuance Communications, Inc. - Common",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
8,Stock,,"than $1,001)",,,
148.5,Southern Copper Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.51,AT&T Inc,N/A,None (or less,Capital Gains,"$100,001 -",
0,,,"than $1,001)",,"$1,000,000 ",
148.51,Hanover Insurance,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.51,CBS Corp B,N/A,None (or less,Capital Gains,"$50,001 -",
2,,,"than $1,001)",,"$100,000 ",
148.51,Viacom Inc. - Class B Common Stock,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.51,Chipotle Mexican Grill Inc. - Cl A,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.51,CA Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.51,Fidelity National Information,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.51,Portland General Electric Co,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.51,Liberty Interactive Corp QVC Group A,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.51,Mastercard Inc,N/A,None (or less,Capital Gains,"$50,001 -",
9,,,"than $1,001)",,"$100,000 ",
148.52,Wyndham Worldwide Corp,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.52,Evercore Partners Inc- Cl A,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.52,Owens Corning Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
2,,,"than $1,001)",,,
148.52,Spectra Energy Corp,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.52,The Travelers Companies Inc,N/A,None (or less,Capital Gains,"$50,001 -",
4,,,"than $1,001)",,"$100,000 ",
148.52,UDR Inc,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.52,Broadridge Financial Solutions Inc,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.52,People's United Financial Inc,N/A,None (or less,Capital Gains,"$50,001 -",
7,,,"than $1,001)",,"$100,000 ",
148.52,Delta Air Lines,N/A,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.52,TFS Financial Corporation - Common Stock,N/A,None (or less,Capital Gains,"$201 - $1,000",
9,,,"than $1,001)",,,
